,name,github_id,homepage,category,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,docs_url,update_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
69,AutonomousVehicleControlBeginnersGuide,ShisatoYano/AutonomousVehicleControlBeginnersGuide,{},flatsim,MIT,,,,,,,,,,,,,,,,,,17.0,2,False,3.0,,,,,,,,,,,,,,,,,
70,Vehicle Dynamics Sim,abaeyens/vehicle_dynamics_sim,{},flatsim,MIT,,,,,,,,,,,,,,,,,Simulates a variety of easily configurable bicycle and Ackermann vehicles with dynamic effects such as acceleration..,,2,False,3.0,,,,,,,,,,,,,,,,,
71,DAVE for ROS 2,OES-Lab/dave,http://dave-ros2.notion.site,maritime,Apache-2,,,,,,,,,,,,,,,,,,,2,True,2.0,,,,,,,,,,,,,,,,,
72,Unreal Robotics Lab,URLab-Sim/UnrealRoboticsLab,https://urlab-sim.github.io/UnrealRoboticsLab/,robotics,Apache-2,,,,,,,,,,,,,,,,,,3.0,2,True,2.0,,,,,,,,,,,,,,,,,
73,Rbot,rlxai/rbot,{},robotics,Apache-2,,,,,,,,,,,,,,,,,,,2,False,2.0,,,,,,,,,,,,,,,,,
74,multipanda_ros2,tenfoldpaper/multipanda_ros2,{},domain,Apache-2,,,,,,,,,,,,,,,,,,15.0,2,False,1.0,,,,,,,,,,,,,,,,,
75,Webots,cyberbotics/webots,https://www.cyberbotics.com/,robotics,,,,,,,,,,,,,,,,,,,147.0,1,True,3.0,,,,,,,,,,,,,,,,,
76,CoppeliaSim core library,CoppeliaRobotics/coppeliaSimLib,http://coppeliarobotics.com/,robotics,gnu-gpl,,,,,,,,,,,,,,,,,,3.0,1,True,3.0,,,,,,,,,,[],,,,,,,
77,CoppeliaSim,,http://coppeliarobotics.com/,robotics,Proprietary Software License,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
78,NVIDIA Isaac Sim,isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,robotics,Apache 2.0 and NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,,,5.0,1,True,3.0,,,,,,,,,,,,,,,,,
79,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,https://utiasdsl.github.io/gym-pybullet-drones/,aerial,,,,,,,,,,,,,,,,,,,25.0,1,True,3.0,,,,,,,,,,[],,,,,,,
80,Matlab UAV Toolbox,,https://www.mathworks.com/products/uav.html,aerial,MathWorks Software License Agreement,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
81,Realflight,,https://www.realflight.com/,aerial,proprietary software license,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
82,JSBSim,JSBSim-Team/jsbsim,{},physics,,,,,,,,,,,,,,,,,,,79.0,1,False,3.0,,,,,,,,,,[],,,,,,,
83,Unity,,https://unity.com/,game,Unity Subscription Plans,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
84,RobotBuilder,,https://new.abb.com/products/robotics/software-and-digital/robotstudio,robotics,Commercial software,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
85,Simbody,simbody/simbody,https://simtk.org/home/simbody,physics,,,,,,,,,,,,,,,,,,,65.0,1,True,3.0,,,,,,,,,,[],,,,,,,
86,TPE (part of gz-physics),gazebosim/gz-physics,https://gazebosim.org/,physics,,,,,,,,,,,,,,,,,,,63.0,1,True,3.0,,,,,,,,,,[],,,,,,,
87,PhysX SDK (legacy),NVIDIAGameWorks/PhysX,https://nvidia-omniverse.github.io/PhysX/,physics,NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,,,3.0,1,True,3.0,,,,,,,,,,[],,,,,,,
88,Vortex,,https://www.cm-labs.com/en/vortex-studio/,physics,EULA,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
89,Newton Dynamics,newton-dynamics/newton-dynamics,http://newtondynamics.com/,physics,zlib,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
90,MuJoCo Wrap,google-deepmind/mujoco_warp,{},physics,,,,,,,,,,,,,,,,,,,56.0,1,False,3.0,,,,,,,,,,[],,,,,,,
91,Havok Physics,,https://www.havok.com/havok-physics/,physics,Per-title licensing model,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
92,Vulkan,KhronosGroup/Vulkan-Hpp,https://www.khronos.org/,render,,,,,,,,,,,,,,,,,,,107.0,1,True,3.0,,,,,,,,,,[],,,,,,,
93,OpenGL,KhronosGroup/Vulkan-Hpp,https://www.khronos.org/,render,,,,,,,,,,,,,,,,,,,107.0,1,True,3.0,,,,,,,,,,[],,,,,,,
94,Wren (Webots),cyberbotics/webots,https://cyberbotics.com/,render,,,,,,,,,,,,,,,,,,,147.0,1,True,3.0,,,,,,,,,,[],,,,,,,
95,Unreal Engine,,https://www.unrealengine.com/,game,EULA,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,[],,,,,,,
96,DAVE,Field-Robotics-Lab/dave,https://field-robotics-lab.github.io/dave.doc/,maritime,,,,,,,,,,,,,,,,,,,25.0,1,True,3.0,,,,,,,,,,,,,,,,,
97,SVL Simulator,lgsvl/simulator,{},auto,,,,,,,,,,,,,,,,,,,46.0,1,False,3.0,,,,,,,,,,,,,,,,,
98,Simbad,,https://simbad.sourceforge.net/,robotics,GNU-gpl2,,,,,,,,,,,,,,,,,,,1,False,3.0,,,,,,,,,,,,,,,,,
99,ROS1 Intergration for Unreal 4,code-iai/ROSIntegration,{},robotics,,,,,,,,,,,,,,,,,,,33.0,1,False,3.0,,,,,,,,,,,,,,,,,
100,ManiSkill,haosulab/ManiSkill,https://maniskill.ai/,ml,,,,,,,,,,,,,,,,,,,70.0,1,True,3.0,,,,,,,,,,,,,,,,,
101,RoboVerse,RoboVerseOrg/RoboVerse,https://roboverseorg.github.io/,ml,,,,,,,,,,,,,,,,,,,51.0,1,True,3.0,,,,,,,,,,,,,,,,,
102,X-plane,,https://www.x-plane.com/,aerial,proprietary license,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
103,RoboDK,,https://robodk.com/,robotics,proprietary license,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
104,jMAVSim,PX4/jMAVSim,{},aerial,,,,,,,,,,,,,,,,,,,29.0,1,False,3.0,,,,,,,,,,,,,,,,,
105,Stewart Platform Simulator,rawify/Stewart.js,https://raw.org/research/inverse-kinematics-of-a-stewart-platform/,domain,,,,,,,,,,,,,,,,,,,,1,True,2.0,,4.0,4.0,,,,,,,,,,,,,,
106,LocoMuJoCo,robfiras/loco-mujoco,https://loco-mujoco.readthedocs.io/,ml,,,,,,,,,,,,,,,,,,,15.0,1,True,3.0,,8.0,8.0,,,,,,,,,,,,,,
107,MATLAB Robotics Systems Toolbox,,https://www.mathworks.com/products/robotics.html,robotics,Proprietary Software License,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
108,Simscape,,https://www.mathworks.com/products/simscape.html,physics,Proprietary Software License,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
109,Roadrunner,,https://www.mathworks.com/products/roadrunner.html,domain,Proprietary Software License,,,,,,,,,,,,,,,,,,,1,True,2.0,,,,,,,,,,,,,,,,,
110,Reinforcement Learning Toolbox,,https://www.mathworks.com/products/reinforcement-learning.html,ml,Proprietary Software License,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
111,RoSi,,https://www.robotec.ai/products,robotics,Proprietary Software License,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
112,RaiSim,raisimTech/raisimlib,https://raisim.com/,physics,Proprietary Software License,,,,,,,,,,,,,,,,,,17.0,1,True,3.0,,,,,,,,,,,,,,,,,
113,UWSim-NET,uji-ros-pkg/underwater_simulation,{},maritime,,,,,,,,,,,,,,,,,,,25.0,1,False,3.0,,,,,,,,,,,,,,,,,
114,Moos-ivp,moos-ivp/moos-ivp,{},maritime,GPLv3 LGPLv3 and Commercial,,,,,,,,,,,,,,,,,,19.0,1,False,3.0,,,,,,,,,,,,,,,,,
115,Basilisk,AVSLab/basilisk,{},space,,,,,,,,,,,,,,,,,,,123.0,1,False,2.0,,,,,,,,,,,,,,,,,
116,Astrobee,NASA/astrobee,{},space,,,,,,,,,,,,,,,,,,,22.0,1,False,2.0,,,,,,,,,,,,,,,,,
117,K-Sim,kscalelabs/ksim,https://docs.kscale.dev/docs/ksim,ml,,,,,,,,,,,,,,,,125.0,,,9.0,1,True,3.0,ksim,,,https://pypi.org/project/ksim,125.0,,,,,,,,,,,,
118,Newton (Physics),newton-physics/newton,https://newton-physics.github.io/newton/,robotics,,,,,,,,,,,,,,,,,,,105.0,1,True,3.0,,,,,,,,,,,,,,,,,
119,Graspit!,graspit-simulator/graspit,{},domain,,,,,,,,,,,,,,,,,,,25.0,1,False,2.0,,,,,,,,,,,,,,,,,
120,PyFleX,YunzhuLi/PyFleX,{},physics,Nvidia Software License,,,,,,,,,,,,,,,,,,,1,False,3.0,,,,,,,,,,,,,,,,,
121,Virtual RobotX,osrf/vrx,{},maritime,,,,,,,,,,,,,,,,,,,38.0,1,False,3.0,,,,,,,,,,,,,,,,,
122,DexterousHands,PKU-MARL/DexterousHands,{},domain,,,,,,,,,,,,,,,,,,,9.0,1,False,2.0,,5.0,5.0,,,,,,,,,,,,,,
123,gym-softrobot,skim0119/gym-softrobot/,{},domain,,,,,,,,,,,,,,,,99.0,,,,1,False,2.0,gym-softrobot,2.0,2.0,https://pypi.org/project/gym-softrobot,99.0,,,,,,,,,,,,
124,Mars Explorer,dimikout3/MarsExplorer,{},space,no license,,,,,,,,,,,,,,,,,,3.0,1,False,2.0,,,,,,,,,,,,,,,,,
125,Spleenlab simulator,,https://spleenlab.com/,aerial,proprietary,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
126,Roblox,,https://www.roblox.com/,game,proprietary,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
127,FlightForge,ctu-mrs/mrs_uav_flightforge_simulator,{},aerial,GLP-2.0,,,,,,,,,,,,,,,,,,11.0,1,False,3.0,,,,,,,,,,,,,,,,,
128,ProtoTwin,,https://prototwin.com/,robotics,proprietary license,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,
129,pysimverse,cvzone/pysimverse,{},aerial,MIT,,,,,,,,,,,,,,,,,,2.0,1,False,3.0,,,,,,,,,,,,,,,,,
130,Gears,QuirkyCort/gears,https://gears.aposteriori.com.sg/,robotics,GPLv3,,,,,,,,,,,,,,,,,,14.0,1,True,3.0,,,,,,,,,,,,,,,,,
131,mvsim,MRPT/mvsim,{},flatsim,,,,,,,,,,,,,,,,,,,9.0,0,False,,,,,,,,,,,[],,https://mvsimulator.readthedocs.io/,,,,,
132,Pegasus Simulator,PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,aerial,,,,,,,,,,,,,,,,,,,6.0,0,True,,,,,,,,,,,[],,,,,,,
133,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,aerial,,,,,,,,,,,,,,,,,,,4.0,0,True,,,,,,,,,,,[],,,,,,,
134,RotorTM,arplaboratory/RotorTM,{},aerial,,,,,,,,,,,,,,,,,,,3.0,0,False,,,,,,,,,,,[],,,,,,,
135,rotorpy,spencerfolk/rotorpy,{},aerial,,,,,,,,,,,,,,,,,,,10.0,0,False,,,,,,,,,,,[],,,,,,,
136,PhysX 5,NVIDIA-Omniverse/PhysX,https://nvidia-omniverse.github.io/PhysX/,physics,,,,,,,,,,,,,,,,,,,11.0,0,True,,,,,,,,,,,[],,,,,,,
137,Unity Rendering Plugin,Unity-Technologies/NativeRenderingPlugin,https://docs.unity3d.com/Manual/NativePluginInterface.html,render,,,,,,,,,,,,,,,,,,,13.0,0,True,,,,,,,,,,,[],,,,,,,
138,Stonefish,patrykcieslak/stonefish,https://stonefish.readthedocs.io/,maritime,,,,,,,,,,,,,,,,,,,13.0,0,True,,,,,,,,,,,,,,,,,,
139,Flatland,avidbots/flatland,https://flatland-simulator.readthedocs.io/,flatsim,,,,,,,,,,,,,,,,,,,14.0,0,True,,,,,,,,,,,,,,,,,,
140,Ros2 For Unity,RobotecAI/ros2-for-unity,{},robotics,,,,,,,,,,,,,,,,,,,12.0,0,False,,,,,,,,,,,,,,,,,,
141,UnrealZoo,UnrealZoo/unrealzoo-gym,https://unrealzoo.site/,ml,,,,,,,,,,,,,,,,,,,6.0,0,True,,,,,,,,,,,,,,,,,,
142,Deepdrive,deepdrive/deepdrive,https://deepdrive.io/,ml,,,,,,,,,,,,,,,,,,,6.0,0,True,,,,,,,,,,,,,,,,,,
143,Safe Control Gym,utiasDSL/safe-control-gym,https://www.dynsyslab.org/safe-robot-learning/,ml,,,,,,,,,,,,,,,,,,,20.0,0,True,,,,,,,,,,,,,,,,,,
144,Gibson,StanfordVL/GibsonEnv,http://gibsonenv.stanford.edu/,ml,,,,,,,,,,,,,,,,,,,9.0,0,True,,,,,,,,,,,,,,,,,,
145,MetaDrive,metadriverse/metadrive/,https://metadriverse.github.io/metadrive-simulator/,ml,,,,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,
146,Arnold,arnold-benchmark/arnold,https://arnold-benchmark.github.io/,ml,,,,,,,,,,,,,,,,,,,3.0,0,True,,,,,,,,,,,,,,,,,,
147,PyRep,stepjam/PyRep,{},ml,,,,,,,,,,,,,,,,,,,20.0,0,False,,,,,,,,,,,,,,,,,,
148,LunarSim,PUTvision/LunarSim,{},space,Missing,,,,,,,,,,,,,,,,,,2.0,0,False,,,,,,,,,,,,,,,,,,
149,MuJoCo playground,google-deepmind/mujoco_playground/,https://playground.mujoco.org/,ml,,,,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,
150,URSim,srmauvsoftware/URsim,{},maritime,,,,,,,,,,,,,,,,,,,3.0,0,False,,,,,,,,,,,,,,,,,,
151,ds sim,,https://bitbucket.org/whoidsl/ds_sim/src/master/,maritime,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,
152,Freefloating,freefloating-gazebo/freefloating_gazebo,{},maritime,,,,,,,,,,,,,,,,,,,8.0,0,False,,,,,,,,,,,,,,,,,,
153,MARS,iti-luebeck/mars,{},maritime,,,,,,,,,,,,,,,,,,,14.0,0,False,,,,,,,,,,,,,,,,,,
154,USARSim,,https://sourceforge.net/projects/usarsim/,maritime,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,
155,MARUSimulator,MARUSimulator/marus-core,{},maritime,,,,,,,,,,,,,,,,,,,8.0,0,False,,,,,,,,,,,,,,,,,,
156,swarm_sync_sim,shupx/swarm_sync_sim,{},aerial,,,,,,,,,,,,,,,,,,,3.0,0,False,,,,,,,,,,,,,,,,,,
157,AutoDRIVE Simulator,Tinker-Twins/AutoDRIVE,https://github.com/Tinker-Twins/AutoDRIVE/tree/AutoDRIVE-Simulator,domain,,,,,,,,,,,,,,,,,,,3.0,0,True,,,,,,,,,,,,,,,,,,
158,FleX,NVIDIAGameWorks/FleX,{},physics,Nvidia Software License,,,,,,,,,,,,,,,,,,2.0,0,False,,,,,,,,,,,,,,,,,,
159,Strech MuJoCo,hello-robot/stretch_mujoco,{},domain,,,,,,,,,,,,,,,,,,,8.0,0,False,,,,,,,,,,,,,,,,,,
160,Isaac Drone Racer,kousheekc/isaac_drone_racer,{},aerial,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,
161,Gymfc,wil3/gymfc/,http://wfk.io/neuroflight/,aerial,,,,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,
162,Panda-Gym,qgallouedec/panda-gym,{},domain,,,,,,,,,,,,,,,,,,,9.0,0,False,,,,,,,,,,,,,,,,,,https://panda-gym.readthedocs.io/en/latest/
163,OmniIsaacGymEnvs,isaac-sim/OmniIsaacGymEnvs,{},ml,,,,,,,,,,,,,,,,,,,6.0,0,False,,,,,,,,,,,,,,,,,,
164,Itomori,gustavo-moura/itomori,{},aerial,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,
165,BSK-RL,AVSLab/bsk_rl,https://avslab.github.io/bsk_rl/,space,,,,,,,,,,,,,,,,,,,11.0,0,True,,,,,,,,,,,,,,,,,,
166,racecar_gym,axelbr/racecar_gym/,{},ml,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,
167,Ardupilot_Multiagent_Simulation,aau-cns/Ardupilot_Multiagent_Simulation,{},aerial,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,
168,Project AirSim,iamaisim/ProjectAirSim,https://iamaisim.github.io/ProjectAirSim/,aerial,,,,,,,,,,,,,,,,,,,18.0,0,True,,,,,,,,,,,,,,,,,,
169,UAIbot,UAIbot/UAIbotPy,https://uaibot.github.io/,ml,,,,,,,,,,,,,,,,,,,3.0,0,True,,,,,,,,,,,,,,,,,,
170,optimAero PX4,optimAero/optimAeroPX4SIL,https://optim.aero/px4silsimulink.html,aerial,,,,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,
171,Crazyflow,utiasDSL/crazyflow,{},aerial,,,,,,,,,,,,,,,,,,,11.0,0,False,,,2.0,2.0,,,,,,,,,,,,,,
172,CrazyS,gsilano/CrazyS,{},aerial,,,,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,,,,,,,,[],,,,,,,
173,UW-Morse,eirikhex/UW-MORSE,{},maritime,,,,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,,,,,,,,,,,,,,,
174,DWA_Algorithm_PYTHON,EricChen0104/DWA_Algorithm_PYTHON,{},flatsim,,,,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,,,,,,,,,,,,,,,
175,multi-agent_sim,tjards/multi-agent_sim,{},domain,,,,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,,,,,,,,,,,,,,,
